crop,variety,supplier,order_date,stock_quantity,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url
Peppers (Sweet),Jimmy Nardello Sweet,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jimmy-nardello-sweet-pepper-seeds/
Peppers (Sweet),Huntington F1 Bell,JS,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,,https://www.johnnyseeds.com/vegetables/peppers/sweet-bell-peppers/huntington-f1-bell-pepper-seed-5262.html
Peppers (Hot),Jalapeno,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-jalapeno-pepper-seeds/
Peppers (Hot),Poblano,SDSC,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,organic,https://sandiegoseedcompany.com/product/vegetables/peppers/organic-poblano-pepper-seeds/
Peppers (Hot),Flaming Flare F1 Fresno,JS,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/flaming-flare-f1-fresno-pepper-seed-3270.html
Peppers (Hot),Sargento F1 Poblano,JS,,,warm,medium,,transplant,60,90,1,0.67,,1,5,,single,,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/sargento-f1-poblano-pepper-seed-4752.html
Eggplant,Turkish Delight F1,JS,,,warm,medium-high,,transplant,60,85,1,0.5,,1,5,,single,"organic, Asian - *shopper requested*",https://www.johnnyseeds.com/vegetables/eggplant/asian-eggplants/turkish-delight-organic-f1-eggplant-seed-4755G.html
Cucumber,Marketmore 76,SDSC,,,warm,high,Mar–Aug,direct_sow,,55,1,0.5,,3,5,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cucumbers/organic-marketmore-76-cucumber-seeds/
Cucumber,Carosello Leccese,SDSC,,,warm,high,Mar–Aug,direct_sow,,55,1,0.5,,3,5,,single,,https://sandiegoseedcompany.com/product/vegetables/cucumbers/carosello-leccese-cucumber-seeds/
Cucumber,The General F1,JS,,,warm,high,Mar–Aug,direct_sow,,55,1,0.5,,3,5,,single,,https://www.johnnyseeds.com/vegetables/cucumbers/slicing-cucumbers/the-general-f1-cucumber-seed-2417.html
Summer Squash / Zucchini,Golden Zucchini,SDSC,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,single,organic,https://sandiegoseedcompany.com/product/vegetables/squash/organic-golden-zucchini-summer-squash-seeds/
Summer Squash / Zucchini,Prolific Yellow Straightneck,SDSC,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,single,organic,https://sandiegoseedcompany.com/product/vegetables/squash/organic-prolific-yellow-straightneck-summer-squash-seeds/
Summer Squash / Zucchini,Dark Star Zucchini,SDSC,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,single,organic,https://sandiegoseedcompany.com/product/vegetables/squash/organic-dark-star-zucchini-seeds/
Summer Squash / Zucchini,Yellow Crookneck,JS,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,single,organic,https://www.johnnyseeds.com/vegetables/squash/summer-squash/yellow-crookneck-organic-yellow-summer-squash-seed-2450.html
Summer Squash / Zucchini,Spineless Perfection F1 Zucchini,JS,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,single,,https://www.johnnyseeds.com/vegetables/squash/summer-squash/spineless-perfection-f1-zucchini-squash-seed-3854.html
Summer Squash / Zucchini,Golden Glory F1 Zucchini,JS,,,warm,medium-high,Mar–Aug,direct_sow,,50,1,0.33,,5,20,,single,,https://www.johnnyseeds.com/vegetables/squash/summer-squash/golden-glory-f1-zucchini-squash-seed-3837.html
Winter Squash,Waltham Butternut,SDSC,,,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,,single,,https://sandiegoseedcompany.com/product/vegetables/squash/waltham-butternut-squash-seeds/
Winter Squash,Mambo F1 Kabocha,JS,,,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,,single,organic,https://www.johnnyseeds.com/vegetables/squash/winter-squash/mambo-organic-f1-kabocha-squash-seed-4304G.html
Winter Squash,Honey Bear F1 Acorn,JS,,,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,,single,,https://www.johnnyseeds.com/vegetables/squash/winter-squash/honey-bear-f1-acorn-squash-seed-689.html
Winter Squash,Block Party F1 Butternut,JS,,,warm,medium,Apr–Jun,direct_sow,,100,1,0.17,,10,20,,single,organic,https://www.johnnyseeds.com/vegetables/squash/winter-squash/block-party-organic-f1-butternut-squash-seed-4307G.html
Melons,Early Girl Watermelon,SDSC,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,,single,,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/early-girl-watermelon-seeds/
Melons,Sugar Baby Watermelon,SDSC,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,,single,organic,https://sandiegoseedcompany.com/product/fruit/melons/watermelon/organic-sugar-baby-watermelon-seeds/
Melons,Golden Delicious Cantaloupe,SDSC,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,,single,,https://sandiegoseedcompany.com/product/fruit/melons/golden-delicious-cantaloupe-seeds/
Melons,Saniara F1 Watermelon,JS,,,warm,medium,Apr–Jun,direct_sow,,90,1,0.17,,,,,single,seedless,https://www.johnnyseeds.com/vegetables/watermelons/triploid-watermelons-seedless/saniara-f1-watermelon-seed-5206.html
Sweet Potatoes (Slips),Mahon Yam,JS,,,warm,medium,,slips,,120,1,0.5,,2,3,,single,"organic, slips",https://www.johnnyseeds.com/vegetables/sweet-potatoes/mahon-yam-organic-sweet-potato-slips-3200G.html
Beans (Bush),Calypso Bush,SDSC,,,warm,medium,Apr–Aug,direct_sow,,55,2,3,,0.5,1,,single,,https://sandiegoseedcompany.com/product/vegetables/beans/calypso-bush-bean-seeds/
Beans (Bush Mixed),So Cal Flavor Trio Bush,SDSC,,,warm,medium,Apr–Aug,direct_sow,,55,2,3,,0.5,1,,single,,https://sandiegoseedcompany.com/product/vegetables/beans/so-cal-flavor-trio-bush-bean-seeds/
Beans (Pole),Blue Lake Pole,SDSC,,,warm,medium,Apr–Aug,direct_sow,,65,1,2,,0.5,1,,single,,https://sandiegoseedcompany.com/product/vegetables/beans/blue-lake-pole-bean-seeds/
Beans (Pole),Golden Pole,SDSC,,,warm,medium,Apr–Aug,direct_sow,,65,1,2,,0.5,1,,single,,https://sandiegoseedcompany.com/product/vegetables/beans/golden-pole-bean-seeds/
Fava Beans,Fava Bean,SDSC,,,cool,medium,Oct–Dec,direct_sow,,100,2,1,,,,,single,organic,https://sandiegoseedcompany.com/product/vegetables/beans/organic-fava-bean-seeds/
Amaranth,Orange Amaranth,SDSC,,,warm,low,Apr–Aug,direct_sow,,55,scattered,,16,,,,single,organic,https://sandiegoseedcompany.com/product/vegetables/amaranth/organic-orange-amaranth-seeds/
