crop,variety,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Radishes (Mixed),Confetti Mix,vegetable,cool-season,Sep–Mar,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/radishes/confetti-mix-radish-seeds/,,0.25,0.25
Arugula,Wild Arugula,vegetable,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/herbs/wild-arugula-seeds/,,,
Lettuce (Single),Parris Island Cos Romaine,vegetable,cool-season,Sep–Mar,transplant,,,,,single,medium-high,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/parris-island-cos-romaine-lettuce-seeds/,,1.0,1.0
Lettuce (Mixed),Zone 9-10 Mix,vegetable,cool-season,Sep–Mar,transplant,,,,,mixed,medium-high,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/lettuce/organic-zone-9-10-lettuce-mix/,,1.0,1.0
Lettuce (Mixed),Allstar Gourmet Mix,vegetable,cool-season,Sep–Mar,transplant,,,,,mixed,medium-high,,,,,JS,https://www.johnnyseeds.com/vegetables/lettuce/lettuce-mixes/allstar-gourmet-lettuce-mix-vegetable-seed-2301.html,,1.0,1.0
Spinach,Corvair,vegetable,cool-season,Oct–Feb,transplant,,,,,single,medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/vegetables/spinach/organic-corvair-spinach-seeds/,,0.25,1.0
Swiss Chard,Bright Lights,vegetable,cool-season,Sep–Mar,transplant,,,,,single,medium,,,,,JS,https://www.johnnyseeds.com/vegetables/swiss-chard/bright-lights-swiss-chard-seed-703D.html,,8.0,12.0
Greens Mixes,Ovation Greens Mix,vegetable,cool-season,Sep–Mar,direct_sow,,,,,mixed,medium,,,,organic - *shopper requested*,JS,https://www.johnnyseeds.com/vegetables/greens/greens-mixes/ovation-greens-mix-organic-vegetable-seed-2697G.html,,,
Mustard Greens,Broadleaf Mustard Green,vegetable,cool-season,Sep–Mar,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/broadleaf-mustard-green-seeds/,,,
Chicory,Gourmet Blend,vegetable,cool-season,Sep–Feb,direct_sow,,,,,mixed,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/vegetables/greens/gourmet-blend-chicory-seeds/,,,
