crop,variety,plant_type,season,sow_window,seeding_method,start,plant_out,days_to_transplant,days_to_maturity,packet_type,water_needs,planting_pattern,plants_per_linear_ft,yield_per_plant,harvest_info,supplier,url,notes,yield_low,yield_high
Poppies,Shirley Mix Poppy,flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/shirley-mix-poppy-seeds/,,,
Poppies (Mixed),California Formula Mix Poppy,flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-formula-mix-poppy-seeds/,,,
Other Cool Season Annuals,Bachelor Button,flower,cool-season,Sep–Jan,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/bachelor-button-seeds/,,,
Other Cool Season Annuals,Larkspur - QIS Beeworthy Mix,flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-qis-beeworthy-mix-larkspur/,,,
Other Cool Season Annuals,Nigella - Miss Jekyll,flower,cool-season,Sep–Jan,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/miss-jekyll-nigella-seeds/,,,
Other Cool Season Annuals,Heirloom Sweet Pea Mix,flower,cool-season,Sep–Jan,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/heirloom-sweet-pea-seed-mix/,,,
Calendula,Calendula - Alpha,flower,cool-season,Sep–Jan,direct_sow,,,,,single,medium,,,,organic,JS,https://www.johnnyseeds.com/herbs/calendula/alpha-organic-calendula-seed-2935.html,,,
Sunflowers,Chocolate Cherry,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/chocolate-cherry-sunflower-seeds/,,,
Sunflowers,Russian Mammoth,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-russian-mammoth-sunflower-seeds/,,,
Sunflowers,Mexican Sunflower,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/mexican-sunflower-seeds/,,,
Zinnias,Benary's Giant,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/benarys-giant-zinnia-seeds/,,,
Zinnias,Dahlia Mix,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/dahlia-mix-zinnia-seeds/,,,
Cosmos,Sensation Mix,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/sensation-mix-cosmos-seeds/,,,
Cosmos,Candy Stripe,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/candy-stripe-cosmos-seeds/,,,
Marigolds,Sparky,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-sparky-marigold-seeds/,,,
Marigolds,Queen Sophia,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-queen-sophia-marigold-seeds/,,,
Other Annuals,Nasturtium - Alaska Mix,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/alaska-mix-nasturtium-seeds/,,,
Other Annuals,Strawflower - Apricot,flower,warm-season,Mar–Jun,direct_sow,,,,,single,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-apricot-strawflower-seeds/,,,
Other Annuals,Gaillardia - Double Sunset,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/double-sunset-gaillardia-seeds/,,,
Other Annuals,Scabiosa - SoCal Mix,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,organic,SDSC,https://sandiegoseedcompany.com/product/flowers/organic-socal-mix-scabiosa-seeds/,,,
Vines,Morning Glory - Color Mix,flower,warm-season,Mar–Jun,direct_sow,,,,,mixed,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/color-mix-morning-glory-seeds/,,,
California Natives,Western Yarrow,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/western-yarrow-seeds/,,,
California Natives,Scarlet Flax,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/scarlet-flax-seeds/,,,
California Natives,Arroyo Lupine,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/arroyo-lupine-seeds/,,,
California Natives,California Blue Bell,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/california-blue-bell-wildflower-seeds/,,,
California Natives,Narrowleaf Milkweed,flower,perennial,,direct_sow,,,,,single,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/narrowleaf-milkweed-seeds/,,,
Other Perennials,Hollyhock - Halo,flower,perennial,,direct_sow,,,,,single,low-medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/halo-hollyhock-seeds/,,,
Other Perennials,Echinacea/Coneflower - Paradiso Tall Mix,flower,perennial,,direct_sow,,,,,mixed,low-medium,,,,,JS,https://www.johnnyseeds.com/flowers/echinacea-coneflower/paradiso-tall-mix-echinacea-seed-4919.html,,,
Other Perennials,Wild Bergamot/Monarda,flower,perennial,,direct_sow,,,,,single,low-medium,,,,,JS,https://www.johnnyseeds.com/flowers/monarda-bee-balm/wild-bergamot-monarda-seed-827.html,,,
Wildflower Mixes,Southwest Wildflower Mix,flower,perennial,,direct_sow,,,,,mixed,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/southwest-wildflower-seed-mix/,,,
Wildflower Mixes,Butterfly Garden Mix,flower,perennial,,direct_sow,,,,,mixed,low,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/butterfly-garden-seed-mix/,,,
Bee Balm,Bee Balm - Lemon Mint,flower,perennial,,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/lemon-mint-bee-balm-seeds/,,,
Hyssop,Hyssop - Anise,flower,perennial,,direct_sow,,,,,single,medium,,,,,SDSC,https://sandiegoseedcompany.com/product/flowers/edible-flowers/hyssop-anise-seeds/,,,
